engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
sqlite-dred-loop	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=968700d3a18355e1; survivor blake3=4513570c9a2459b4	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-cte	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=14955fe055a07105; survivor blake3=6e29820385bc6b56	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-cte	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=95e40b2476927975; survivor blake3=4965a69e9e8ee22d	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-cte	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=968700d3a18355e1; survivor blake3=4513570c9a2459b4	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-signed-delta-v2	2x200	ok	full recursive recomputation from implicit zero-indegree roots excluding current seeds; validated single deletion only; repeated deletion and disconnected zero-weight cases fail sequence checks; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=14955fe055a07105; survivor blake3=6e29820385bc6b56	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-signed-delta-v2	6x2000	ok	full recursive recomputation from implicit zero-indegree roots excluding current seeds; validated single deletion only; repeated deletion and disconnected zero-weight cases fail sequence checks; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=95e40b2476927975; survivor blake3=4965a69e9e8ee22d	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-signed-delta-v2	8x20000	ok	full recursive recomputation from implicit zero-indegree roots excluding current seeds; validated single deletion only; repeated deletion and disconnected zero-weight cases fail sequence checks; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=968700d3a18355e1; survivor blake3=4513570c9a2459b4	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
tsv2-runtime	2x200	ok	compile_dl6 emitted program.tick through IncrementalRuntime; emitted recursive DRed plan; setup loads edges in 1000-row batches then roots; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	Node process RSS sampled after validation; in-memory libSQL store	DL_MEMCAP_MB limits Node old-space only; SQLite C heap and total RSS unenforced
tsv2-runtime	6x2000	ok	compile_dl6 emitted program.tick through IncrementalRuntime; emitted recursive DRed plan; setup loads edges in 1000-row batches then roots; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	Node process RSS sampled after validation; in-memory libSQL store	DL_MEMCAP_MB limits Node old-space only; SQLite C heap and total RSS unenforced
tsv2-runtime	8x20000	ok	compile_dl6 emitted program.tick through IncrementalRuntime; emitted recursive DRed plan; setup loads edges in 1000-row batches then roots; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	Node process RSS sampled after validation; in-memory libSQL store	DL_MEMCAP_MB limits Node old-space only; SQLite C heap and total RSS unenforced
sprefa-engine-rs	2x200	ok	compile_dl6 emit_rust program through drive_tick_transacted and GenProgram::run_tick; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	child-process peak RSS from time; in-memory rusqlite store	DL_MEMCAP_MB requested but unenforced for this adapter
sprefa-engine-rs	6x2000	ok	compile_dl6 emit_rust program through drive_tick_transacted and GenProgram::run_tick; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	child-process peak RSS from time; in-memory rusqlite store	DL_MEMCAP_MB requested but unenforced for this adapter
sprefa-engine-rs	8x20000	ok	compile_dl6 emit_rust program through drive_tick_transacted and GenProgram::run_tick; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	child-process peak RSS from time; in-memory rusqlite store	DL_MEMCAP_MB requested but unenforced for this adapter
pglite-query	2x200	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=8b785b6ac760143407366be3159c6e44fe2b8c85bcb5e8201b33379e0d2fcb25; untimed transfer_ms before=0.831 after=0.426; untimed checksum_validation_ms before=0.589 after=0.069; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
pglite-query	6x2000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=5359ff08f251a47ab81d104beeff9633f95d50c30ea2ff1db9d40617983ca17b after=4f87d3e445a0a5e73efe07d7d3fb7bcc6705a16dd176b41a43c35fe6cf5f35d8; untimed transfer_ms before=15.344 after=12.710; untimed checksum_validation_ms before=3.676 after=2.033; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
pglite-query	8x20000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=d5b111c00b9de6c6acc308845af36202735166f81b10ef25547078a8e03fcd77 after=3b230457cb44c24b2aee90922f65fd969e19e3cc990f50afe8e42176503a1e85; untimed transfer_ms before=198.820 after=161.180; untimed checksum_validation_ms before=26.994 after=25.317; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
native-postgres-query	2x200	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=8b785b6ac760143407366be3159c6e44fe2b8c85bcb5e8201b33379e0d2fcb25; untimed transfer_ms before=0.712 after=0.173; untimed checksum_validation_ms before=0.478 after=0.090; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
native-postgres-query	6x2000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=5359ff08f251a47ab81d104beeff9633f95d50c30ea2ff1db9d40617983ca17b after=4f87d3e445a0a5e73efe07d7d3fb7bcc6705a16dd176b41a43c35fe6cf5f35d8; untimed transfer_ms before=6.563 after=2.748; untimed checksum_validation_ms before=3.762 after=2.498; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
native-postgres-query	8x20000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=d5b111c00b9de6c6acc308845af36202735166f81b10ef25547078a8e03fcd77 after=3b230457cb44c24b2aee90922f65fd969e19e3cc990f50afe8e42176503a1e85; untimed transfer_ms before=49.771 after=35.101; untimed checksum_validation_ms before=27.216 after=22.839; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
pglite-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
pglite-pg_ivm	6x2000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
pglite-pg_ivm	8x20000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
