engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
pglite-query	6x2000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=5359ff08f251a47ab81d104beeff9633f95d50c30ea2ff1db9d40617983ca17b after=e640e84f06cd3d340d290625432f23bf9cf4b9df50d6e4ae1ab7a73f216df46b; untimed transfer_ms before=15.947 after=11.821; untimed checksum_validation_ms before=3.807 after=1.976; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
pglite-query	8x20000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=d5b111c00b9de6c6acc308845af36202735166f81b10ef25547078a8e03fcd77 after=ba46515280fa0525997e4d27a81f4d2dfdb3f4445c1e54d0cc969e59cb068bf2; untimed transfer_ms before=212.501 after=172.610; untimed checksum_validation_ms before=27.746 after=24.941; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
native-postgres-query	2x200	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=d290b0a93c2138767799bffe561de2bad1a45c0ffc8210a3be393f16eb7bc305; untimed transfer_ms before=0.825 after=0.342; untimed checksum_validation_ms before=0.551 after=0.092; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
native-postgres-query	6x2000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=5359ff08f251a47ab81d104beeff9633f95d50c30ea2ff1db9d40617983ca17b after=e640e84f06cd3d340d290625432f23bf9cf4b9df50d6e4ae1ab7a73f216df46b; untimed transfer_ms before=6.660 after=2.880; untimed checksum_validation_ms before=4.096 after=2.058; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
native-postgres-query	8x20000	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=d5b111c00b9de6c6acc308845af36202735166f81b10ef25547078a8e03fcd77 after=ba46515280fa0525997e4d27a81f4d2dfdb3f4445c1e54d0cc969e59cb068bf2; untimed transfer_ms before=54.342 after=41.346; untimed checksum_validation_ms before=28.012 after=27.323; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
pglite-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
pglite-pg_ivm	6x2000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
pglite-pg_ivm	8x20000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	6x2000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	8x20000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
